Underlying,OGFrom,OGTo
BANKNIFTY,-10,10
FINNIFTY,-10,10
NIFTYINFRA,-10,10
NIFTYIT,-10,10
NIFTYMID10,-10,10
NIFTYPSE,-10,10
ABIRLANUVO,-10,10
3IINFOTECH,-10,10
ACC,-10,10
ADANIENT,-10,10
ADANIPORTS,-10,10
ADANIPOWER,-10,10
AJANTPHARM,-10,10
ALBK,-10,10
ABAN,-10,10
AMARAJABAT,-10,10
AMBUJACEM,-10,10
ANDHRABANK,-10,10
APOLLOHOSP,-10,10
APOLLOTYRE,-10,10
ARVIND,-10,10
ASHOKLEY,-10,10
ASIANPAINT,-10,10
AUROPHARMA,-10,10
AXISBANK,-10,10
BAJAJ-AUTO,-10,10
BAJFINANCE,-10,10
BANKBARODA,-10,10
BANKINDIA,-10,10
BATAINDIA,-10,10
BEL,-10,10
BEML,-10,10
BHARATFORG,-10,10
BHARTIARTL,-10,10
BHEL,-10,10
BIOCON,-10,10
BOSCHLTD,-10,10
BPCL,-10,10
BRITANNIA,-10,10
CADILAHC,-10,10
CAIRN,-10,10
CANBK,-10,10
CASTROLIND,-10,10
CEATLTD,-10,10
CENTURYTEX,-10,10
CESC,-10,10
CIPLA,-10,10
COALINDIA,-10,10
COLPAL,-10,10
CONCOR,-10,10
CROMPGREAV,-10,10
CUMMINSIND,-10,10
DABUR,-10,10
DHFL,-10,10
DISHTV,-10,10
DIVISLAB,-10,10
DLF,-10,10
DRREDDY,-10,10
EICHERMOT,-10,10
ENGINERSIN,-10,10
EXIDEIND,-10,10
FEDERALBNK,-10,10
GAIL,-10,10
GLENMARK,-10,10
GMRINFRA,-10,10
GODREJCP,-10,10
GODREJIND,-10,10
GRANULES,-10,10
GRASIM,-10,10
HAVELLS,-10,10
HCLTECH,-10,10
HDFC,-10,10
HDFCBANK,-10,10
HDIL,-10,10
HEROMOTOCO,-10,10
HEXAWARE,-10,10
HINDALCO,-10,10
HINDPETRO,-10,10
HINDUNILVR,-10,10
HINDZINC,-10,10
IBREALEST,-10,10
IBULHSGFIN,-10,10
ICICIBANK,-10,10
ICIL,-10,10
IDBI,-10,10
IDEA,-10,10
IDFC,-10,10
IFCI,-10,10
IGL,-10,10
INDIACEM,-10,10
INDUSINDBK,-10,10
INFRATEL,-10,10
INFY,-10,10
IOB,-10,10
IOC,-10,10
IRB,-10,10
ITC,-10,10
JETAIRWAYS,-10,10
JINDALSTEL,-10,10
JISLJALEQS,-10,10
JPASSOCIAT,-10,10
JSWENERGY,-10,10
JSWSTEEL,-10,10
JUBLFOOD,-10,10
JUSTDIAL,-10,10
KOTAKBANK,-10,10
KPIT,-10,10
KSCL,-10,10
KTKBANK,-10,10
L&TFH,-10,10
LICHSGFIN,-10,10
LT,-10,10
LUPIN,-10,10
M&M,-10,10
M&MFIN,-10,10
MARICO,-10,10
MARUTI,-10,10
MCDOWELL-N,-10,10
MCLEODRUSS,-10,10
MINDTREE,-10,10
MOTHERSUMI,-10,10
MRF,-10,10
NCC,-10,10
NHPC,-10,10
NMDC,-10,10
NTPC,-10,10
OFSS,-10,10
OIL,-10,10
ONGC,-10,10
ORIENTBANK,-10,10
PAGEIND,-10,10
PCJEWELLER,-10,10
PETRONET,-10,10
PFC,-10,10
PIDILITIND,-10,10
PNB,-10,10
POWERGRID,-10,10
PTC,-10,10
RCOM,-10,10
RECLTD,-10,10
RELCAPITAL,-10,10
RELIANCE,-10,10
RELINFRA,-10,10
RPOWER,-10,10
SAIL,-10,10
SBIN,-10,10
SIEMENS,-10,10
SKSMICRO,-10,10
SOUTHBANK,-10,10
SRF,-10,10
SRTRANSFIN,-10,10
STAR,-10,10
SUNPHARMA,-10,10
SUNTV,-10,10
SYNDIBANK,-10,10
TATACHEM,-10,10
TATACOMM,-10,10
TATAELXSI,-10,10
TATAGLOBAL,-10,10
TATAMOTORS,-10,10
TATAMTRDVR,-10,10
TATAPOWER,-10,10
TATASTEEL,-10,10
TCS,-10,10
TECHM,-10,10
TITAN,-10,10
TORNTPHARM,-10,10
TV18BRDCST,-10,10
TVSMOTOR,-10,10
UBL,-10,10
UCOBANK,-10,10
ULTRACEMCO,-10,10
UNIONBANK,-10,10
UNITECH,-10,10
UPL,-10,10
VEDL,-10,10
VOLTAS,-10,10
WIPRO,-10,10
WOCKPHARMA,-10,10
YESBANK,-10,10
ZEEL,-10,10
USDINR,-10,10